22:41:22 [background-preinit] DEBUG   --- o.j.logging - Logging Provider: org.jboss.logging.Log4j2LoggerProvider
22:41:22 [background-preinit] INFO    --- o.h.v.i.u.Version - HV000001: Hibernate Validator 6.2.2.Final
22:41:23 [background-preinit] DEBUG   --- o.h.v.i.x.c.ValidationXmlParser - Trying to load META-INF/validation.xml for XML based Validator configuration.
22:41:23 [background-preinit] DEBUG   --- o.h.v.i.x.c.ResourceLoaderHelper - Trying to load META-INF/validation.xml via TCCL
22:41:23 [background-preinit] DEBUG   --- o.h.v.i.x.c.ResourceLoaderHelper - Trying to load META-INF/validation.xml via Hibernate Validator's class loader
22:41:23 [background-preinit] DEBUG   --- o.h.v.i.x.c.ValidationXmlParser - No META-INF/validation.xml found. Using annotation based configuration only.
22:41:23 [background-preinit] DEBUG   --- o.h.v.i.e.r.TraversableResolvers - Found javax.persistence.Persistence on classpath containing 'getPersistenceUtil'. Assuming JPA 2 environment. Trying to instantiate JPA aware TraversableResolver
22:41:23 [background-preinit] DEBUG   --- o.h.v.i.e.r.TraversableResolvers - Instantiated JPA aware TraversableResolver of type org.hibernate.validator.internal.engine.resolver.JPATraversableResolver.
22:41:23 [restartedMain] INFO    --- c.j.j.Java16GiraNghiaApplication - Starting Java16GiraNghiaApplication using Java 15.0.2 on 21AK22-COM with PID 4336 (C:\Linda\JAVA\Cyber-SpringBoot-Java16\B22\java16-gira-nghia\target\classes started by Administrator in C:\Linda\JAVA\Cyber-SpringBoot-Java16\B22\java16-gira-nghia)
22:41:23 [restartedMain] DEBUG   --- c.j.j.Java16GiraNghiaApplication - Running with Spring Boot v2.5.10, Spring v5.3.16
22:41:23 [restartedMain] INFO    --- c.j.j.Java16GiraNghiaApplication - No active profile set, falling back to 1 default profile: "default"
22:41:23 [background-preinit] DEBUG   --- o.h.v.m.ResourceBundleMessageInterpolator - Loaded expression factory via original TCCL
22:41:23 [restartedMain] INFO    --- o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
22:41:23 [restartedMain] INFO    --- o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
22:41:23 [restartedMain] DEBUG   --- o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
22:41:23 [restartedMain] DEBUG   --- o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory'
22:41:23 [background-preinit] DEBUG   --- o.h.v.i.e.ValidatorFactoryConfigurationHelper - HV000252: Using org.hibernate.validator.internal.engine.DefaultPropertyNodeNameProvider as property node name provider.
22:41:23 [background-preinit] DEBUG   --- o.h.v.i.e.ValidatorFactoryConfigurationHelper - HV000234: Using org.hibernate.validator.messageinterpolation.ResourceBundleMessageInterpolator as ValidatorFactory-scoped message interpolator.
22:41:23 [background-preinit] DEBUG   --- o.h.v.i.e.ValidatorFactoryConfigurationHelper - HV000234: Using org.hibernate.validator.internal.engine.resolver.JPATraversableResolver as ValidatorFactory-scoped traversable resolver.
22:41:23 [background-preinit] DEBUG   --- o.h.v.i.e.ValidatorFactoryConfigurationHelper - HV000234: Using org.hibernate.validator.internal.util.ExecutableParameterNameProvider as ValidatorFactory-scoped parameter name provider.
22:41:23 [background-preinit] DEBUG   --- o.h.v.i.e.ValidatorFactoryConfigurationHelper - HV000234: Using org.hibernate.validator.internal.engine.DefaultClockProvider as ValidatorFactory-scoped clock provider.
22:41:23 [background-preinit] DEBUG   --- o.h.v.i.e.ValidatorFactoryConfigurationHelper - HV000234: Using org.hibernate.validator.internal.engine.scripting.DefaultScriptEvaluatorFactory as ValidatorFactory-scoped script evaluator factory.
22:41:23 [restartedMain] DEBUG   --- o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [C:\Linda\JAVA\Cyber-SpringBoot-Java16\B22\java16-gira-nghia\target\classes\cybersoft\javabackend\java16giranghia\config\JpaConfig.class]
22:41:23 [restartedMain] DEBUG   --- o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [C:\Linda\JAVA\Cyber-SpringBoot-Java16\B22\java16-gira-nghia\target\classes\cybersoft\javabackend\java16giranghia\config\SwaggerConfig.class]
22:41:23 [restartedMain] DEBUG   --- o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [C:\Linda\JAVA\Cyber-SpringBoot-Java16\B22\java16-gira-nghia\target\classes\cybersoft\javabackend\java16giranghia\config\ValdationConfig.class]
22:41:23 [restartedMain] DEBUG   --- o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [C:\Linda\JAVA\Cyber-SpringBoot-Java16\B22\java16-gira-nghia\target\classes\cybersoft\javabackend\java16giranghia\controller\WelcomeController.class]
22:41:23 [restartedMain] DEBUG   --- o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [C:\Linda\JAVA\Cyber-SpringBoot-Java16\B22\java16-gira-nghia\target\classes\cybersoft\javabackend\java16giranghia\role\controller\GiraGroupController.class]
22:41:23 [restartedMain] DEBUG   --- o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [C:\Linda\JAVA\Cyber-SpringBoot-Java16\B22\java16-gira-nghia\target\classes\cybersoft\javabackend\java16giranghia\role\controller\GiraRoleController.class]
22:41:23 [restartedMain] DEBUG   --- o.s.c.a.ClassPathBeanDefinitionScanner - Ignored because not a concrete top-level class: file [C:\Linda\JAVA\Cyber-SpringBoot-Java16\B22\java16-gira-nghia\target\classes\cybersoft\javabackend\java16giranghia\role\repository\GiraGroupRepository.class]
22:41:23 [restartedMain] DEBUG   --- o.s.c.a.ClassPathBeanDefinitionScanner - Ignored because not a concrete top-level class: file [C:\Linda\JAVA\Cyber-SpringBoot-Java16\B22\java16-gira-nghia\target\classes\cybersoft\javabackend\java16giranghia\role\repository\GiraRoleRepository.class]
22:41:23 [restartedMain] DEBUG   --- o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [C:\Linda\JAVA\Cyber-SpringBoot-Java16\B22\java16-gira-nghia\target\classes\cybersoft\javabackend\java16giranghia\role\service\GiraGroupServiceImpl.class]
22:41:23 [restartedMain] DEBUG   --- o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [C:\Linda\JAVA\Cyber-SpringBoot-Java16\B22\java16-gira-nghia\target\classes\cybersoft\javabackend\java16giranghia\role\service\GiraRoleServiceImpl.class]
22:41:23 [restartedMain] DEBUG   --- o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [C:\Linda\JAVA\Cyber-SpringBoot-Java16\B22\java16-gira-nghia\target\classes\cybersoft\javabackend\java16giranghia\security\config\SecurityConfig.class]
22:41:23 [restartedMain] DEBUG   --- o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [C:\Linda\JAVA\Cyber-SpringBoot-Java16\B22\java16-gira-nghia\target\classes\cybersoft\javabackend\java16giranghia\security\controller\AuthController.class]
22:41:23 [restartedMain] DEBUG   --- o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [C:\Linda\JAVA\Cyber-SpringBoot-Java16\B22\java16-gira-nghia\target\classes\cybersoft\javabackend\java16giranghia\security\jwt\JwtAuthorizationFilter.class]
22:41:23 [restartedMain] DEBUG   --- o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [C:\Linda\JAVA\Cyber-SpringBoot-Java16\B22\java16-gira-nghia\target\classes\cybersoft\javabackend\java16giranghia\security\jwt\JwtHelper.class]
22:41:23 [restartedMain] DEBUG   --- o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [C:\Linda\JAVA\Cyber-SpringBoot-Java16\B22\java16-gira-nghia\target\classes\cybersoft\javabackend\java16giranghia\security\service\AuthServiceImpl.class]
22:41:23 [restartedMain] DEBUG   --- o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [C:\Linda\JAVA\Cyber-SpringBoot-Java16\B22\java16-gira-nghia\target\classes\cybersoft\javabackend\java16giranghia\security\service\UserDetailsServiceImpl.class]
22:41:23 [restartedMain] DEBUG   --- o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [C:\Linda\JAVA\Cyber-SpringBoot-Java16\B22\java16-gira-nghia\target\classes\cybersoft\javabackend\java16giranghia\user\controller\GiraUserController.class]
22:41:23 [restartedMain] DEBUG   --- o.s.c.a.ClassPathBeanDefinitionScanner - Ignored because not a concrete top-level class: file [C:\Linda\JAVA\Cyber-SpringBoot-Java16\B22\java16-gira-nghia\target\classes\cybersoft\javabackend\java16giranghia\user\repository\GiraUserRepository.class]
22:41:23 [restartedMain] DEBUG   --- o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [C:\Linda\JAVA\Cyber-SpringBoot-Java16\B22\java16-gira-nghia\target\classes\cybersoft\javabackend\java16giranghia\user\service\GiraUserServiceImpl.class]
